   1 & 0.10 & 0.10 &   100 &    3 &    2 &  1.73 \\ \hline
   2 & 0.10 & 0.10 &   200 &    3 &    1 &  1.13 \\ \hline
   3 & 0.10 & 0.10 &   500 &    1 &    0 &  0.33 \\ \hline
   4 & 0.10 & 0.10 &  1000 &    1 &    0 &  0.20 \\ \hline
   5 & 0.10 & 0.10 &  2000 &    1 &    0 &  0.07 \\ \hline
   6 & 0.10 & 0.25 &   100 &    3 &    2 &  1.73 \\ \hline
   7 & 0.10 & 0.25 &   200 &    2 &    1 &  1.27 \\ \hline
   8 & 0.10 & 0.25 &   500 &    1 &    0 &  0.27 \\ \hline
   9 & 0.10 & 0.25 &  1000 &    1 &    0 &  0.27 \\ \hline
  10 & 0.10 & 0.25 &  2000 &    0 &    0 &  0.00 \\ \hline
  11 & 0.10 & 0.50 &   100 &    3 &    1 &  1.13 \\ \hline
  12 & 0.10 & 0.50 &   200 &    2 &    1 &  1.00 \\ \hline
  13 & 0.10 & 0.50 &   500 &    1 &    0 &  0.27 \\ \hline
  14 & 0.10 & 0.50 &  1000 &    1 &    0 &  0.20 \\ \hline
  15 & 0.10 & 0.50 &  2000 &    0 &    0 &  0.00 \\ \hline
  16 & 0.10 & 0.75 &   100 &    3 &    1 &  1.33 \\ \hline
  17 & 0.10 & 0.75 &   200 &    2 &    1 &  1.13 \\ \hline
  18 & 0.10 & 0.75 &   500 &    2 &    0 &  0.47 \\ \hline
  19 & 0.10 & 0.75 &  1000 &    1 &    0 &  0.13 \\ \hline
  20 & 0.10 & 0.75 &  2000 &    0 &    0 &  0.00 \\ \hline
  21 & 0.10 & 0.90 &   100 &    4 &    1 &  1.47 \\ \hline
  22 & 0.10 & 0.90 &   200 &    2 &    1 &  1.00 \\ \hline
  23 & 0.10 & 0.90 &   500 &    2 &    0 &  0.47 \\ \hline
  24 & 0.10 & 0.90 &  1000 &    1 &    0 &  0.13 \\ \hline
  25 & 0.10 & 0.90 &  2000 &    1 &    0 &  0.07 \\ \hline
  26 & 0.25 & 0.10 &   100 &    4 &    3 &  2.60 \\ \hline
  27 & 0.25 & 0.10 &   200 &    3 &    2 &  1.80 \\ \hline
  28 & 0.25 & 0.10 &   500 &    2 &    1 &  0.67 \\ \hline
  29 & 0.25 & 0.10 &  1000 &    1 &    0 &  0.33 \\ \hline
  30 & 0.25 & 0.10 &  2000 &    1 &    0 &  0.20 \\ \hline
  31 & 0.25 & 0.25 &   100 &    4 &    3 &  2.60 \\ \hline
  32 & 0.25 & 0.25 &   200 &    2 &    1 &  1.13 \\ \hline
  33 & 0.25 & 0.25 &   500 &    2 &    1 &  0.73 \\ \hline
  34 & 0.25 & 0.25 &  1000 &    2 &    0 &  0.33 \\ \hline
  35 & 0.25 & 0.25 &  2000 &    1 &    0 &  0.07 \\ \hline
  36 & 0.25 & 0.50 &   100 &    3 &    2 &  1.87 \\ \hline
  37 & 0.25 & 0.50 &   200 &    3 &    2 &  1.60 \\ \hline
  38 & 0.25 & 0.50 &   500 &    2 &    0 &  0.73 \\ \hline
  39 & 0.25 & 0.50 &  1000 &    1 &    0 &  0.40 \\ \hline
  40 & 0.25 & 0.50 &  2000 &    0 &    0 &  0.00 \\ \hline
  41 & 0.25 & 0.75 &   100 &    3 &    2 &  1.93 \\ \hline
  42 & 0.25 & 0.75 &   200 &    3 &    2 &  1.53 \\ \hline
  43 & 0.25 & 0.75 &   500 &    2 &    1 &  0.73 \\ \hline
  44 & 0.25 & 0.75 &  1000 &    1 &    0 &  0.20 \\ \hline
  45 & 0.25 & 0.75 &  2000 &    1 &    0 &  0.07 \\ \hline
  46 & 0.25 & 0.90 &   100 &    4 &    2 &  2.20 \\ \hline
  47 & 0.25 & 0.90 &   200 &    2 &    1 &  1.07 \\ \hline
  48 & 0.25 & 0.90 &   500 &    2 &    1 &  0.73 \\ \hline
